,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C)
0,-79.4,43.67,TORONTO,6158350,1996-01,1996,1,-1.3,-8.1,-4.7,13.4,-18.8
1,-79.4,43.67,TORONTO,6158350,1996-02,1996,2,-0.7,-6.9,-3.8,9.8,-18.1
2,-79.4,43.67,TORONTO,6158350,1996-03,1996,3,2.4,-4.2,-0.9,13.9,-15.0
3,-79.4,43.67,TORONTO,6158350,1996-04,1996,4,9.1,2.2,5.7,22.3,-3.8
4,-79.4,43.67,TORONTO,6158350,1996-05,1996,5,16.8,8.7,12.8,28.7,2.0
5,-79.4,43.67,TORONTO,6158350,1996-06,1996,6,23.3,15.2,19.3,31.9,10.8
6,-79.4,43.67,TORONTO,6158350,1996-07,1996,7,25.1,16.6,20.9,30.2,11.5
7,-79.4,43.67,TORONTO,6158350,1996-08,1996,8,26.2,18.1,22.1,30.1,14.4
8,-79.4,43.67,TORONTO,6158350,1996-09,1996,9,21.2,14.4,17.8,28.6,6.2
9,-79.4,43.67,TORONTO,6158350,1996-10,1996,10,13.5,7.7,10.6,23.1,1.0
10,-79.4,43.67,TORONTO,6158350,1996-11,1996,11,4.8,-0.2,2.4,18.4,-7.7
11,-79.4,43.67,TORONTO,6158350,1996-12,1996,12,3.3,-1.0,1.2,12.2,-11.7
